# Pathway	SRR579277_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	1.0000000000
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	1.0000000000
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.0000000000
PWY-7219: adenosine ribonucleotides de novo biosynthesis	0.9731298815
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	0.7550446128
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.7872331387
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0.5804365505
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0.6572818144
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.9559168331
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	0.8169264672
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.7960813153
PWY-6737: starch degradation V	0.9010453505
PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_rectale	0.6939994677
PWY-6737: starch degradation V|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.5947050994
PWY-5686: UMP biosynthesis	0.8499141014
PWY-5097: L-lysine biosynthesis VI	0.8384518868
PWY-5097: L-lysine biosynthesis VI|g__Eubacterium.s__Eubacterium_rectale	0.4674419916
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_stercoris	0.6166151063
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.8211729099
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_rectale	0.4978773090
PWY-6151: S-adenosyl-L-methionine cycle I	0.8029845201
PWY-2942: L-lysine biosynthesis III	0.7983527978
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_stercoris	0.6522648067
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0.7684567466
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.7234303500
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.7726924641
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Eubacterium.s__Eubacterium_rectale	0.5038247411
ARO-PWY: chorismate biosynthesis I	0.7575380007
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	0.4786784484
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.7403499860
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.7831060158
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.7113598115
PWY-5667: CDP-diacylglycerol biosynthesis I	0.7236728986
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.7236728986
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.6449801831
PWY-1042: glycolysis IV (plant cytosol)	0.6156700613
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.6143718209
PWY-6897: thiamin salvage II	0.6095306795
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.5925095308
PWY-6317: galactose degradation I (Leloir pathway)	0.5233346973
PWY66-422: D-galactose degradation V (Leloir pathway)	0.5233346973
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Eubacterium.s__Eubacterium_rectale	0.6171806881
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.5664800159
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.5584410161
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Eubacterium.s__Eubacterium_rectale	0.5632290790
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.5933470595
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.5933470595
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.5602185684
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6143443780
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_rectale	0.3457008923
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_stercoris	0.3956198442
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.5438043107
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_rectale	0.4781362144
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.5084063737
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6652287197
VALSYN-PWY: L-valine biosynthesis	0.5084063737
VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6652287197
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_rectale	0.3457008923
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0.3956198442
PANTO-PWY: phosphopantothenate biosynthesis I	0.5068809087
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_dorei	0.7487011043
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.5059906892
PWY-3841: folate transformations II	0.4901002459
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	0.4745480476
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_stercoris	0.6649043761
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.3370234539
PWY0-1296: purine ribonucleosides degradation	0.4650932771
PWY0-1296: purine ribonucleosides degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6776459596
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.4355061284
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.4111661157
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6533463867
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.3980683696
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_rectale	0.6384380239
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	0.3777530562
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.7341699816
PWY-7221: guanosine ribonucleotides de novo biosynthesis	0.4101047117
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.4187846427
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.3881304442
PWY-5973: cis-vaccenate biosynthesis	0.3739472137
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.3554498844
PWY-5103: L-isoleucine biosynthesis III	0.3717370617
PWY-5103: L-isoleucine biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6333573297
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.3474869303
PWY-621: sucrose degradation III (sucrose invertase)	0.3872432104
PWY-621: sucrose degradation III (sucrose invertase)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6955288534
PWY-5367: petroselinate biosynthesis	0.3430645172
PWY-5367: petroselinate biosynthesis|g__Eubacterium.s__Eubacterium_rectale	0.5511064353
PWY-5101: L-isoleucine biosynthesis II	0.3526663662
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.3076107743
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.2536781406
PWY-6609: adenine and adenosine salvage III	0.3570036986
PWY-6609: adenine and adenosine salvage III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6617405617
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.3315831464
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6050332177
PWY-6703: preQ0 biosynthesis	0.2940178683
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.2404955178
PWY-6527: stachyose degradation	0.2995483984
PWY-7663: gondoate biosynthesis (anaerobic)	0.2161244594
PWY-7663: gondoate biosynthesis (anaerobic)|g__Bacteroides.s__Bacteroides_stercoris	0.6319470003
PWY-5100: pyruvate fermentation to acetate and lactate II	0.1871528378
PWY-5177: glutaryl-CoA degradation	0.2005551708
PWY-5177: glutaryl-CoA degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6852995615
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.1868220694
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.5333112192
GALACTUROCAT-PWY: D-galacturonate degradation I	0.1875824380
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6253783986
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.1785403515
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.5213953365
COA-PWY: coenzyme A biosynthesis I	0.1423717143
PWY-7242: D-fructuronate degradation	0.1813394112
PWY-7242: D-fructuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6122973679
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.1677813380
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6103963495
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.1302163580
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.1302163580
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0913697617
