#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	65.90684
k__Bacteria|p__Firmicutes	22.84694
k__Bacteria|p__Verrucomicrobia	7.78088
k__Bacteria|p__Actinobacteria	3.44998
k__Bacteria|p__Proteobacteria	0.01536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	65.90684
k__Bacteria|p__Firmicutes|c__Clostridia	22.68892
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	7.78088
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3.44998
k__Bacteria|p__Firmicutes|c__Bacilli	0.15802
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	65.90684
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	22.68892
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	7.78088
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.26538
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.18461
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.15802
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	61.59381
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	9.3402
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	7.78088
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	7.36442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.50533
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.73173
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.26538
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.18461
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.47897
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.38072
