# Pathway	SRR579279_Abundance
UNMAPPED	51199.1205185577
UNINTEGRATED	99487.9082051202
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	24146.5909489067
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	13615.1037939546
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	13573.0959541204
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	7259.1880089404
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	5216.9605101102
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	5160.5204865522
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4172.1842961381
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	3601.6773219012
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	3550.4850070000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	1599.0384576704
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	1540.9844600799
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	1466.3304180624
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	1329.7270793806
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	1015.8185987760
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	933.5872969800
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	780.3927370072
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	779.1767466356
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	746.3621347602
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	729.1306042163
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	567.9731354171
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	373.1888582328
UNINTEGRATED|unclassified	356.0620391250
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	329.6115552286
PWY-7219: adenosine ribonucleotides de novo biosynthesis	100.4157606803
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	29.6730952549
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	12.1376311238
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	10.6107423978
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	8.5858168091
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	7.3239651334
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	6.7129260913
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	6.1038667645
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	4.9795848170
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.0927388697
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	2.5447156305
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bifidobacterium.s__Bifidobacterium_longum	1.4425933321
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	1.3280091664
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_hallii	1.0822490308
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0.9925109558
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	0.9210520466
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_onderdonkii	0.8831159438
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.6935104541
PWY-6700: queuosine biosynthesis	94.8310757388
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	25.6507751739
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	12.1686791468
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	11.5561328232
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	7.4625060639
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	6.8070644008
PWY-6700: queuosine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	3.5098983810
PWY-6700: queuosine biosynthesis|g__Barnesiella.s__Barnesiella_intestinihominis	1.4278431183
PWY-2942: L-lysine biosynthesis III	93.0202076064
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_stercoris	29.0605748501
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	12.1829062490
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	9.8327823063
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	6.8002195374
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_massiliensis	5.5744934876
PWY-2942: L-lysine biosynthesis III|g__Akkermansia.s__Akkermansia_muciniphila	4.3314591777
